fecha_utc,volcano,sensor,mirova_vrp_mw,mirova_class,ours_present,ours_vrp_raw,ours_vrp_meq,ours_dist_km,ours_discarded_reason,ours_granule,delta_min
2026-04-27 05:18:01+00:00,Tupungatito,VIIRS375,0.11,Muy Bajo,False,,,,,,
2026-04-27 05:18:01+00:00,PlanchonPeteroa,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-04-26 06:24:02+00:00,Lastarria,VIIRS375,0.11,Muy Bajo,False,,,,,,
2026-04-26 05:36:01+00:00,PlanchonPeteroa,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-04-26 05:36:01+00:00,Tupungatito,VIIRS375,0.2,Muy Bajo,False,,,,,,
2026-04-26 05:36:01+00:00,Lascar,VIIRS375,1.58,Bajo,False,,,,,,
2026-04-26 04:48:02+00:00,Tupungatito,VIIRS375,0.11,Muy Bajo,False,,,,,,
2026-04-25 07:35:00+00:00,Lascar,MODIS,1.28,Bajo,True,118.672,0.0,29.42,partial_eruption_hotspot_too_far,MYD021KM.A2026115.0735.061.2026115190927.hdf,0.0
2026-04-25 05:54:01+00:00,Lastarria,VIIRS375,0.14,Muy Bajo,False,,,,,,
2026-04-25 05:54:01+00:00,Tupungatito,VIIRS375,0.2,Muy Bajo,False,,,,,,
2026-04-25 05:54:01+00:00,Lascar,VIIRS375,1.41,Bajo,False,,,,,,
2026-04-25 05:54:01+00:00,PlanchonPeteroa,VIIRS375,0.09,Muy Bajo,False,,,,,,
2026-04-25 01:30:00+00:00,Lascar,MODIS,1.6,Bajo,True,71.967,0.0,23.84,partial_eruption_hotspot_too_far,MOD021KM.A2026115.0130.061.2026115130835.hdf,0.0
2026-04-24 06:18:01+00:00,PlanchonPeteroa,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-04-24 06:12:01+00:00,Lastarria,VIIRS375,0.09,Muy Bajo,False,,,,,,
2026-04-24 06:12:01+00:00,Lascar,VIIRS375,1.05,Bajo,False,,,,,,
2026-04-24 06:12:01+00:00,Tupungatito,VIIRS375,0.11,Muy Bajo,False,,,,,,
2026-04-24 05:24:02+00:00,Tupungatito,VIIRS375,0.31,Muy Bajo,False,,,,,,
2026-04-24 05:18:02+00:00,Lascar,VIIRS375,1.15,Bajo,False,,,,,,
2026-04-24 05:18:02+00:00,Isluga,VIIRS375,0.34,Muy Bajo,False,,,,,,
2026-04-23 08:00:00+00:00,Lascar,MODIS,0.19,Muy Bajo,True,250.073,0.0,24.43,partial_eruption_hotspot_too_far,MYD021KM.A2026113.0800.061.2026113191815.hdf,0.0
2026-04-23 06:36:01+00:00,Tupungatito,VIIRS375,0.03,Muy Bajo,False,,,,,,
2026-04-23 06:30:01+00:00,Lastarria,VIIRS375,0.07,Muy Bajo,False,,,,,,
2026-04-23 04:48:01+00:00,Lascar,VIIRS375,0.13,Muy Bajo,False,,,,,,
2026-04-23 01:50:00+00:00,Lascar,MODIS,1.7,Bajo,True,46.451,0.0,23.89,partial_eruption_hotspot_too_far,MOD021KM.A2026113.0150.061.2026113131839.hdf,0.0
2026-04-22 06:30:00+00:00,Lastarria,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-04-22 06:00:02+00:00,Tupungatito,VIIRS375,0.03,Muy Bajo,False,,,,,,
2026-04-22 06:00:02+00:00,Lascar,VIIRS375,0.94,Muy Bajo,False,,,,,,
2026-04-22 05:12:01+00:00,Copahue,VIIRS375,0.21,Muy Bajo,False,,,,,,
2026-04-22 05:12:01+00:00,Lascar,VIIRS375,0.86,Muy Bajo,False,,,,,,
2026-04-21 06:24:02+00:00,PuyehueCordonCaulle,VIIRS375,0.05,Muy Bajo,False,,,,,,
2026-04-21 06:18:02+00:00,Lascar,VIIRS375,0.19,Muy Bajo,False,,,,,,
2026-04-21 06:18:02+00:00,Isluga,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-04-21 06:18:02+00:00,Tupungatito,VIIRS375,0.12,Muy Bajo,False,,,,,,
2026-04-21 05:30:01+00:00,Tupungatito,VIIRS375,0.2,Muy Bajo,False,,,,,,
2026-04-21 05:30:01+00:00,Lascar,VIIRS375,1.75,Bajo,False,,,,,,
2026-04-21 05:24:01+00:00,Isluga,VIIRS375,0.5,Muy Bajo,False,,,,,,
2026-04-21 05:12:00+00:00,PuyehueCordonCaulle,VIIRS375,0.53,Muy Bajo,False,,,,,,
2026-04-20 19:00:02+00:00,NevadosDeChillan,VIIRS,0.99,Muy Bajo,False,,,,,,
2026-04-20 07:40:00+00:00,Lascar,MODIS,0.76,Muy Bajo,True,101.672,0.0,22.64,partial_eruption_hotspot_too_far,MYD021KM.A2026110.0740.061.2026110191313.hdf,0.0
2026-04-20 05:54:01+00:00,PuyehueCordonCaulle,VIIRS375,0.76,Muy Bajo,False,,,,,,
2026-04-20 05:48:01+00:00,Lastarria,VIIRS375,0.08,Muy Bajo,False,,,,,,
2026-04-20 05:48:01+00:00,Lascar,VIIRS375,1.72,Bajo,False,,,,,,
2026-04-19 06:06:01+00:00,Isluga,VIIRS375,0.35,Muy Bajo,False,,,,,,
2026-04-19 06:06:01+00:00,Lastarria,VIIRS375,0.03,Muy Bajo,False,,,,,,
